method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
baseline_frequency_topk,1,0.18181818181818182,0.009224318658280922,0.05493895671476138,0.0,0.3235294117647059,0.12979691876750699,0.3235294117647059,0.34481957350818176,23.529411764705884,68,53
baseline_frequency_topk,3,0.23809523809523808,0.019934112009583706,0.07991120976692564,0.0,0.22058823529411764,0.28287815126050425,0.39705882352941174,0.34481957350818176,23.529411764705884,68,53
baseline_frequency_topk,5,0.22957198443579765,0.026978137166816414,0.10987791342952276,0.0,0.17352941176470588,0.3920581869111281,0.5735294117647058,0.34481957350818176,23.529411764705884,68,53
baseline_frequency_topk,7,0.2153846153846154,0.03259658580413297,0.14150943396226415,0.0,0.14705882352941177,0.4432836771072065,0.6323529411764706,0.34481957350818176,23.529411764705884,68,53
baseline_frequency_topk,10,0.18969555035128804,0.03829958166299429,0.19200887902330743,0.0,0.11911764705882352,0.5353068500127324,0.7352941176470589,0.34481957350818176,23.529411764705884,68,53
baseline_random_distribution,1,0.15702479338842976,0.019748919505462415,0.05660377358490566,0.0,0.27941176470588236,0.11460084033613445,0.27941176470588236,0.26287707582287234,28.16176470588235,68,53
baseline_random_distribution,3,0.164021164021164,0.022606530377556916,0.0876803551609323,0.0,0.15196078431372548,0.19695378151260504,0.36764705882352944,0.26287707582287234,28.16176470588235,68,53
baseline_random_distribution,5,0.17509727626459143,0.04226531113323566,0.11764705882352941,0.0,0.1323529411764706,0.2593200916730329,0.47058823529411764,0.26287707582287234,28.16176470588235,68,53
baseline_random_distribution,7,0.1753846153846154,0.05750865062508068,0.14872364039955605,0.0,0.11974789915966387,0.3338362617774382,0.5735294117647058,0.26287707582287234,28.16176470588235,68,53
baseline_random_distribution,10,0.15690866510538642,0.058277904288583086,0.1997780244173141,0.0,0.09852941176470588,0.3951171377641966,0.6029411764705882,0.26287707582287234,28.16176470588235,68,53
